APPID,TypeOfViolence,VictimType,Gender,Indigenous,AgeAtHappenedTo,Granted
200195,Assault,Primary,M,No,21.52,23979.65
200279,Assault,Not Eligible,M,No,26.67,0
200614,Assault,Primary,F,No,40.82,12067.05
201532,Assault,Primary,M,No,28.16,38516.2
201883,Sexual Offences,Primary,F,Aboriginal and Torres Strait,17.02,10000
203053,Assault,Yet To Be Determined,F,No,46.59,0
204540,Homicide - Other,Related,M,No,56.17,11409.5
204577,Assault,Primary,M,No,53.61,23874.3
206329,Assault,Yet To Be Determined,M,No,32.78,0
259029,Sexual Offences,Primary,F,No,25.38,7000
261410,Homicide - MVA,Related,F,No,32.84,0
262957,Homicide - Other,Related,M,Torres Strait Islander,20.4,5000
263173,Homicide - Other,Related,F,Torres Strait Islander,30.62,5000
263659,Assault,Primary,M,No,68,3600
264127,Assault,Yet To Be Determined,M,No,32.93,0
265931,Sexual Offences,Primary,F,Aboriginal,10.14,10000
266883,Assault,Primary,M,Torres Strait Islander,39.68,23780
267217,Assault,Primary,M,No,19.04,3500
267553,Sexual Offences,Primary,F,No,26.23,10170
269441,Homicide - Other,Related,M,No,10.18,10000
270250,Domestic Violence,Not Eligible,F,No,37.3,0
270368,Domestic Violence,Primary,F,Aboriginal,25.41,1000
207950,Domestic Violence,Witness Secondary,F,No,9.66,0
208120,Sexual Offences,Yet To Be Determined,F,No,22.59,0
209908,Assault,Not Eligible,M,No,25.54,0
211342,Assault,Primary,M,Unknown,18.65,0
213468,Assault,Primary,M,No,72.01,1665.6
214487,Sexual Offences,Primary,F,No,42.01,5120.45
215822,Assault,Primary,M,No,22,16346.44
216192,Homicide - Other,Related,M,Unknown,12.8,5000
217225,Stalking/Threats,Primary,F,Unknown,12.12,1520.27
217345,Assault,Primary,M,No,61.45,10580
220319,Assault,Primary,M,No,59.26,8922.89
222107,Assault,Primary,M,No,17.6,10345.88
204978,Domestic Violence,Primary,F,No,22.6,1050
206379,Homicide - Other,Related,M,Unknown,31.46,11927
206981,Assault,Primary,F,Unknown,22.38,4020
207484,Robbery,Witness Secondary,F,No,56.53,0
212965,Assault,Primary,M,No,19.21,3543.03
213917,Assault,Primary,M,No,47.01,11810
214217,Burglary,Primary,F,Unknown,49.62,3500
214234,Burglary,Primary,F,Unknown,10.74,3500
219735,Assault,Primary,M,Unknown,30.03,3330
222556,Homicide - Other,Related,F,No,69.72,10152.7
222894,Assault,Primary,M,No,35.61,1000
224415,Assault,Primary,F,No,32.76,7715.1
228107,Homicide - Other,Related,F,Aboriginal,25.95,10000
203925,Homicide - Other,Related,F,No,12.12,10000
206816,Sexual Offences,Yet To Be Determined,M,Aboriginal,14.21,0
207984,Homicide - Other,Related,F,No,54.26,13581.42
211045,Assault,Primary,M,No,35.24,0
211294,Homicide - Other,Yet To Be Determined,M,Aboriginal,44.67,0
211426,Homicide - Other,Yet To Be Determined,F,Aboriginal,17.19,0
213482,Assault,Primary,M,Unknown,40.92,3680
213765,Assault,Primary,M,Unknown,22.89,10748.24
215791,Sexual Offences,Not Eligible,F,Unknown,62.41,0
215808,Assault,Primary,M,No,25.35,6390.05
217962,Robbery,Witness Secondary,F,No,62.34,0
220253,Stalking/Threats,Primary,F,No,33.06,24862.8
222375,Assault,Primary,M,Unknown,26.08,14544.22
224064,Assault,Primary,M,No,58.82,7061.2
197140,Sexual Offences,Parent Secondary,M,Aboriginal,38.63,20000
199697,Sexual Offences,Primary,F,No,6.76,6180.2
201266,Assault,Primary,M,No,47.43,3100
202687,Assault,Primary,M,No,22.29,4459.4
203139,Homicide - Other,Related,M,No,48.04,10000
203339,Burglary,Yet To Be Determined,M,No,71.04,0
206432,Assault,Primary,F,No,87.44,8000
209539,Sexual Offences,Primary,F,No,12.65,10000
210640,Assault,Primary,M,No,39.61,0
210827,Assault,Primary,F,No,38.77,3030
211978,Assault,Primary,M,No,19.07,1650
213733,Homicide - Other,Related,F,No,21.51,10794.4
217142,Homicide - Other,Related,F,Aboriginal,11.23,10000
221962,Domestic Violence,Primary,F,No,31.63,1000
223314,Assault,Primary,M,No,17.09,1360
229566,Homicide - DV,Related,F,Aboriginal,62.63,10000
234844,Assault,Primary,M,No,60.85,3657
235496,Homicide - Other,Related,M,No,50.69,10000
237688,Assault,Primary,M,No,16.01,1160
238165,Assault,Primary,M,No,22.53,9463.29
238992,Assault,Primary,F,Aboriginal,48.74,10025
241825,Assault,Primary,M,No,34.61,0
242400,Homicide - Other,Related,M,Aboriginal,49.92,2835
252103,Assault,Primary,M,No,31.21,4120.1
252337,Assault,Primary,M,No,24.58,33647.98
252780,Assault,Primary,M,No,19.38,18589.5
252896,Assault,Primary,M,No,34.3,0
254391,Homicide - DV,Yet To Be Determined,F,Aboriginal,23.07,0
254866,Assault,Primary,F,Torres Strait Islander,44.42,2800
255559,Assault,Primary,M,No,35.83,18220
255627,Assault,Primary,M,No,60.85,2580
257342,Homicide - Other,Related,F,Aboriginal,34.1,10000
258033,Sexual Offences,Primary,F,Aboriginal and Torres Strait,15.99,6000
258183,Assault,Yet To Be Determined,M,No,31.75,0
259512,Assault,Primary,M,No,29.99,1900
261109,Sexual Offences,Primary,F,Aboriginal,13.62,10055
261302,Sexual Offences,Not Eligible,M,No,38.42,0
231911,Assault,Primary,F,No,37.94,4249.7
232324,Assault,Primary,M,No,33.42,1325
270552,Assault,Primary,F,No,21.25,4393.1
271931,Assault,Primary,M,No,61.42,2385.17
272599,Sexual Offences,Primary,F,No,19.78,8120
272756,Homicide - MVA,Related,F,No,25.93,10000
273794,Assault,Not Eligible,M,No,39.35,0
276102,Assault,Primary,F,No,46.81,1300
276759,Assault,Primary,F,Aboriginal,36.1,1735
276868,Assault,Not Eligible,F,No,63.07,0
277086,Domestic Violence,Primary,F,Unknown,31.64,1815
277168,Assault,Primary,M,No,53.52,3826.95
271404,Domestic Violence,Primary,F,Aboriginal,28.62,3560
272617,Homicide - MVA,Not Eligible,M,No,61.03,0
272642,Assault,Primary,M,No,39.62,9586.86
272665,Homicide - MVA,Related,M,No,27.93,10000
272681,Homicide - MVA,Related,M,Unknown,32.36,10000
273108,Homicide - Other,Related,M,No,33.67,11715
275225,Assault,Primary,M,No,37.31,1800
275525,Sexual Offences,Yet To Be Determined,F,No,28.01,0
275891,Homicide - DV,Related,F,Aboriginal,55.28,10000
277620,Homicide - Other,Related,F,Unknown,29.68,10000
277647,Assault,Not Eligible,F,No,23.87,0
283370,Assault,Primary,F,No,24.56,3080
285642,Assault,Primary,M,Unknown,45.99,2500
269105,Homicide - Other,Related,F,Aboriginal,38.25,5000
269166,Homicide - Other,Related,F,Unknown,31.52,5000
269289,Assault,Not Eligible,F,No,35.13,0
193602,Homicide - Other,Related,M,Unknown,35.94,10997.52
196411,Assault,Primary,M,No,49.7,8357.5
197633,Sexual Offences,Primary,F,No,21.37,30612.14
197764,Homicide - Other,Related,M,No,9.31,12000
197881,Homicide - Other,Related,F,Unknown,7.67,12000
198383,Assault,Primary,F,No,43.13,9134.59
201108,Sexual Offences,Primary,F,No,6,16034.06
202863,Domestic Violence,Primary,F,No,46.09,1300
203899,Homicide - Other,Related,F,No,16.34,10000
204030,Domestic Violence,Yet To Be Determined,M,Aboriginal,43.02,0
204300,Assault,Primary,M,No,57.21,3240.34
204332,Burglary,Primary,F,No,28.95,3500
204651,Assault,Primary,M,Aboriginal and Torres Strait,43.96,3010
210466,Assault,Primary,F,No,24.9,1000
210869,Assault,Not Eligible,F,Aboriginal,27.11,0
212072,Homicide - Other,Related,F,Unknown,15.9,12400
213978,Assault,Primary,F,Torres Strait Islander,22.7,2530
222984,Assault,Primary,M,No,38.5,13331.55
223119,Assault,Primary,F,No,41.47,2449.29
224538,Assault,Primary,F,No,45.17,4673.15
204097,Assault,Primary,M,No,16.35,10000
204433,Assault,Not Eligible,M,Aboriginal,32.93,0
204916,Assault,Primary,F,No,36.98,3856.2
205018,Assault,Primary,M,No,39.59,13370.88
207676,Homicide - Other,Related,M,Torres Strait Islander,23.65,5000
211218,Homicide - Other,Yet To Be Determined,F,No,64.5,0
211452,Assault,Primary,M,No,16.19,3955
212874,Domestic Violence,Primary,F,Aboriginal,25.73,1000
214376,Burglary,Primary,M,No,24.55,3500
214844,Assault,Primary,M,No,24.1,21453.5
215880,Homicide - Other,Related,M,Unknown,30.77,2532.35
219291,Sexual Offences,Primary,F,No,36.56,5249
222433,Domestic Violence,Primary,F,No,47.53,3260
197613,Sexual Offences,Parent Secondary,F,No,41.01,1039.11
201123,Robbery,Primary,M,No,53.71,3046.49
202629,Assault,Primary,F,No,20.77,1500
202797,Sexual Offences,Not Eligible,F,No,43.82,0
206572,Sexual Offences,Primary,F,No,15.8,10000
209933,Homicide - Other,Related,F,Unknown,37.11,16000
211887,Stalking/Threats,Primary,F,No,49.1,15504.95
213877,Assault,Primary,M,No,71.6,1300
216267,Homicide - Other,Related,M,Unknown,11.58,5000
217250,Sexual Offences,Primary,M,No,14.83,4222.4
219810,Domestic Violence,Primary,F,No,38.05,7044.52
221830,Homicide - Other,Not Eligible,F,Aboriginal,13.66,0
222966,Homicide - Other,Related,F,No,11.72,10000
203496,Sexual Offences,Primary,M,Aboriginal,14.29,2000
204552,Assault,Primary,M,No,49.87,4124
205686,Homicide - Other,Related,F,Unknown,55.65,16534
209782,Sexual Offences,Not Eligible,U,No,18.01,0
210732,Assault,Primary,M,No,63.01,11948.6
210782,Sexual Offences,Primary,F,No,13.18,8000
239758,Sexual Offences,Primary,F,No,6.05,2500
241146,Assault,Primary,F,No,17.05,7180.7
241841,Domestic Violence,Primary,F,Unknown,36.68,18635.07
242609,Assault,Primary,F,No,79.54,4510.78
245117,Domestic Violence,Yet To Be Determined,F,No,35.93,0
246133,Assault,Primary,M,No,29.93,8095.6
248666,Sexual Offences,Primary,F,Unknown,15.67,4000
249302,Assault,Primary,M,No,54.38,7230
255177,Domestic Violence,Primary,M,Unknown,7.99,11862.22
256763,Homicide - Other,Related,M,No,3.93,13000
259621,Assault,Primary,M,No,26.54,22926.7
262924,Homicide - Other,Related,F,No,38.06,7000
262906,Homicide - Other,Related,F,Aboriginal and Torres Strait,39.76,5000
263008,Homicide - Other,Related,M,Torres Strait Islander,14.51,6000
263024,Homicide - Other,Related,F,Torres Strait Islander,11.24,6000
266055,Assault,Primary,M,No,16.97,4236
266591,Homicide - Other,Related,F,Torres Strait Islander,16.55,6000
267652,Assault,Primary,M,Unknown,34.68,3623.1
268079,Assault,Primary,M,Unknown,41.23,1910
269031,Homicide - Other,Related,F,Aboriginal,12.62,5000
270049,Homicide - DV,Related,F,Aboriginal,39.76,1285.71
270094,Assault,Primary,M,No,23.99,3930
270328,Assault,Primary,M,No,45.51,41823.37
271503,Assault,Primary,M,No,44.25,1764.2
272007,Assault,Yet To Be Determined,M,Aboriginal,31.87,0
247780,Assault,Primary,M,No,48.32,2668
228974,Sexual Offences,Yet To Be Determined,F,No,44.5,0
229059,Assault,Not Eligible,F,No,44.65,0
229526,Burglary,Primary,M,No,52.04,3500
230530,Assault,Primary,M,No,55.04,33842.32
231096,Assault,Primary,M,No,35.28,23223.55
232902,Assault,Primary,M,No,64.21,5100
235527,Domestic Violence,Primary,F,No,29.9,7112.15
236880,Assault,Primary,M,No,50.36,1300
237851,Homicide - Other,Funeral Only,M,No,58.6,6000
238069,Assault,Not Eligible,M,No,21.13,0
238252,Assault,Primary,M,No,21.42,9850
239135,Homicide - Other,Not Eligible,F,Aboriginal and Torres Strait,35.02,0
240808,Sexual Offences,Primary,F,Aboriginal,15.98,8997.2
241127,Assault,Primary,M,No,42.13,3655.79
222325,Homicide - Other,Related,M,No,27.49,10275
223261,Domestic Violence,Yet To Be Determined,F,Aboriginal,23.38,0
223744,Homicide - Other,Related,M,No,45.07,11769.59
224114,Robbery,Primary,F,Unknown,59.9,1300
224564,Burglary,Primary,M,No,37.42,5157.16
225281,Assault,Yet To Be Determined,M,No,28.19,0
225782,Domestic Violence,Primary,F,Aboriginal,24.6,2021.68
228992,Assault,Primary,M,No,49.88,50971.8
229611,Homicide - DV,Related,F,Aboriginal,7.56,10000
231165,Robbery,Primary,F,No,29.05,3500
231299,Assault,Primary,M,No,58.3,100
237651,Assault,Primary,M,No,20.71,2740
269566,Motor Vehicle Accident,Not Eligible,F,No,56.66,0
270141,Assault,Primary,F,Aboriginal,32.55,3520
272140,Burglary,Primary,M,No,39.46,23743.83
275280,Assault,Primary,M,No,51.98,3500
276050,Homicide - Other,Related,F,No,31.5,15098.86
276811,Assault,Not Eligible,F,No,46.28,0
277506,Sexual Offences,Yet To Be Determined,F,No,12.57,0
278283,Assault,Primary,M,No,19.09,2700
279846,Homicide - DV,Related,M,Aboriginal,19.21,5555.55
279910,Homicide - DV,Not Eligible,F,Aboriginal,33.6,0
279960,Homicide - DV,Related,F,Aboriginal,40.68,5555.55
279985,Homicide - DV,Related,F,Aboriginal,14.33,5555.55
280021,Homicide - DV,Related,F,Aboriginal,31.02,5555.55
280046,Homicide - DV,Related,M,Aboriginal,32.34,5555.55
280980,Assault,Yet To Be Determined,M,No,38.61,0
284617,Sexual Offences,Primary,M,Unknown,17.25,71697.7
286721,Assault,Primary,M,Aboriginal and Torres Strait,30.09,9063.9
286928,Homicide - Other,Related,F,No,77.99,5603
290558,Sexual Offences,Primary,F,Unknown,13.15,8961.25
291367,Homicide - DV,Related,F,No,56.09,11345.98
291601,Assault,Primary,F,No,39.98,3000
291635,Sexual Offences,Primary,F,No,16.39,14866.32
291853,Assault,Primary,M,No,33.96,3070
256596,Assault,Primary,M,No,20.69,4413.55
258343,Assault,Primary,M,No,29.39,0
259463,Domestic Violence,Primary,F,No,44.37,1400
259704,Homicide - Other,Related,F,No,24.39,10000
262473,Stalking/Threats,Yet To Be Determined,M,No,47.3,0
267251,Assault,Yet To Be Determined,M,Torres Strait Islander,43.67,0
269121,Sexual Offences,Primary,F,No,28.59,7458.4
269155,Assault,Primary,M,Aboriginal,23.84,3550
270341,Assault,Primary,M,Aboriginal,27.52,1300
271588,Domestic Violence,Primary,F,Unknown,55.77,12464
272231,Robbery,Primary,M,No,22.32,754
275448,Assault,Primary,M,No,28.08,2058
282077,Robbery,Primary,F,No,23.5,3527.25
282125,Sexual Offences,Primary,F,No,21.55,4035.65
279583,Robbery,Yet To Be Determined,F,No,46.28,0
280094,Homicide - DV,Not Eligible,F,Aboriginal,39.99,0
250613,Homicide - DV,Related,M,No,35.81,16640.74
252844,Homicide - Other,Related,M,Aboriginal,27.38,10000
253780,Assault,Primary,M,No,26.62,3023.4
254941,Assault,Primary,M,No,47.47,12654.45
256077,Sexual Offences,Primary,F,No,32.97,10349
258269,Homicide - Other,Related,F,Aboriginal,14.94,16666.66
258855,Assault,Primary,M,No,28.9,29854.29
265187,Sexual Offences,Primary,F,No,40.81,10180
266573,Homicide - Other,Related,F,Torres Strait Islander,36.81,5000
266707,Assault,Primary,F,No,26.33,3167.7
270283,Assault,Primary,M,No,31.17,1650
271103,Robbery,Not Eligible,M,No,35.21,0
263774,Assault,Primary,F,No,12.23,1300
281030,Sexual Offences,Primary,F,No,3.96,14227.9
281714,Homicide - Other,Related,F,No,29.64,12270.4
282027,Sexual Offences,Yet To Be Determined,F,No,13.53,0
282577,Assault,Yet To Be Determined,M,Aboriginal,40.64,0
284104,Assault,Primary,M,No,39.12,24248.65
285226,Sexual Offences,Not Eligible,F,Unknown,29.96,0
287614,Assault,Primary,M,No,35.13,9483.45
287966,Homicide - Other,Yet To Be Determined,F,Aboriginal,33.16,0
288257,Assault,Primary,M,No,44.49,1300
288845,Assault,Primary,M,No,23.09,23500
289193,Sexual Offences,Primary,F,No,20.35,5300
291385,Sexual Offences,Primary,F,No,5.97,27000
285760,Sexual Offences,Primary,M,No,18.28,10500
213392,Assault,Primary,M,No,38.71,1450
213826,Homicide - Other,Related,M,No,54.87,10000
215980,Homicide - Other,Related,M,No,46.52,10000
216784,Homicide - Other,Related,M,Aboriginal,41.38,10000
220427,Assault,Primary,F,No,34.08,4693
222581,Assault,Primary,M,No,20.75,6822.73
222916,Assault,Primary,M,No,26.5,9259.86
225205,Assault,Primary,M,Aboriginal,17.82,8794.88
227213,Sexual Offences,Primary,F,No,12.7,14610.2
228450,Domestic Violence,Primary,F,Aboriginal,45.69,5752.15
229451,Homicide - DV,Yet To Be Determined,M,Aboriginal,44.14,0
230571,Assault,Primary,M,No,53.57,25423.8
230854,Assault,Primary,M,Unknown,25.78,3470
264294,Domestic Violence,Yet To Be Determined,F,Unknown,31.05,0
266116,Assault,Yet To Be Determined,M,Unknown,27.5,0
267057,Assault,Primary,M,Aboriginal,19.16,5041.46
267136,Sexual Offences,Primary,F,Aboriginal,21.01,10000
267511,Assault,Primary,M,No,33.21,3620
268395,Assault,Yet To Be Determined,F,Aboriginal and Torres Strait,33.54,0
269274,Assault,Primary,M,No,19.73,6179.95
269458,Sexual Offences,Parent Secondary,F,No,34.07,480.26
270033,Assault,Not Eligible,F,Unknown,37.38,0
270478,Assault,Primary,F,No,50.89,2181.55
270526,Assault,Primary,M,No,67.7,4053
270955,Domestic Violence,Primary,F,No,34.73,2125
250722,Sexual Offences,Primary,F,No,15.48,10000
251047,Assault,Primary,F,Unknown,49.21,15670.3
251506,Homicide - Other,Related,F,Unknown,35.89,10000
251883,Homicide - Other,Related,M,No,41.58,10000
252160,Domestic Violence,Primary,F,No,35.19,2209.25
252696,Assault,Primary,M,No,45.34,3755
253732,Assault,Primary,M,No,21.01,7594.85
255872,Homicide - Other,Related,F,No,83.77,10000
256454,Assault,Primary,M,No,63.08,1800
260166,Sexual Offences,Primary,F,No,9.93,12255.75
261786,Assault,Primary,M,No,15.48,14583
264094,Robbery,Primary,M,Unknown,29.33,3975.61
264201,Assault,Not Eligible,F,No,56.47,0
265403,Assault,Primary,M,No,41.54,9556.5
274052,Robbery,Primary,F,No,40.9,3500
275238,Homicide - MVA,Related,F,Unknown,49.88,0
276846,Sexual Offences,Primary,F,No,11.63,10000
277605,Assault,Primary,M,No,18.64,3036.2
278316,Assault,Primary,M,No,49.45,1470
279804,Homicide - DV,Related,M,Aboriginal,52.37,5555.55
279886,Homicide - DV,Not Eligible,M,Aboriginal,48.06,0
279936,Homicide - DV,Related,M,Aboriginal,38.67,5555.55
280077,Homicide - DV,Not Eligible,F,Aboriginal,56.35,0
280138,Homicide - Other,Related,M,Aboriginal,32.28,10000
281440,Homicide - Other,Related,M,No,62.38,16000
282217,Burglary,Primary,M,No,21.17,28730.76
283421,Assault,Primary,M,No,27.06,14743.1
285937,Assault,Primary,M,No,59.51,3000
286062,Assault,Primary,M,No,26.93,1300
288066,Domestic Violence,Not Eligible,F,No,56.71,0
288091,Sexual Offences,Primary,F,No,11.45,10440.1
288752,Assault,Primary,F,Unknown,10.98,15025
291426,Sexual Offences,Primary,F,No,3.92,17657.4
292937,Assault,Primary,M,Aboriginal,38.11,3019
293450,Sexual Offences,Parent Secondary,F,Unknown,41.12,3547.6
293759,Assault,Primary,F,Unknown,48.46,17869.35
296140,Assault,Primary,M,No,44.34,32568.71
297140,Assault,Yet To Be Determined,M,No,44.15,0
298455,Assault,Primary,M,No,27.28,6722.13
291867,Assault,Yet To Be Determined,M,No,41.98,0
232395,Assault,Primary,M,No,18.07,17571.26
232478,Domestic Violence,Primary,F,Aboriginal,19.91,3550
234950,Domestic Violence,Primary,F,Aboriginal,41.32,6744
235301,Assault,Yet To Be Determined,F,Aboriginal and Torres Strait,34.49,0
237509,Homicide - MVA,Not Eligible,F,No,49.08,0
238511,Assault,Primary,F,No,21.03,14571.16
239695,Homicide - DV,Related,F,Aboriginal,28.06,10000
224522,Assault,Primary,M,Aboriginal,44.61,3060
224605,Homicide - Other,Related,F,Aboriginal,17.54,5000
228082,Homicide - Other,Related,M,Unknown,28.17,10000
229484,Assault,Primary,M,Aboriginal and Torres Strait,28.24,3000
231940,Assault,Primary,M,No,40.16,1367.85
232043,Homicide - DV,Related,F,Aboriginal,45.06,1285.71
292355,Assault,Primary,F,No,45.85,6730.16
294616,Assault,Primary,M,No,50.03,0
295906,Homicide - Other,Related,F,No,80.12,5603
295947,Sexual Offences,Primary,F,No,38.42,10509.75
296606,Sexual Offences,Primary,F,No,12.76,7000
297367,Assault,Primary,M,No,59.08,1148.65
298903,Assault,Primary,M,No,41.41,4189.56
298930,Domestic Violence,Yet To Be Determined,M,No,2.77,0
299037,Stalking/Threats,Not Eligible,F,No,48.79,0
301761,Assault,Primary,M,Aboriginal,46.73,1120
302122,Robbery,Primary,M,No,32.1,0
303660,Sexual Offences,Primary,M,No,5.53,8000
305925,Assault,Primary,M,No,44.92,786.9
238182,Homicide - Other,Related,F,No,20.17,10000
241192,Homicide - MVA,Yet To Be Determined,F,Unknown,50.64,0
241310,Domestic Violence,Primary,F,Aboriginal,23.9,3201.04
242313,Assault,Primary,M,No,15.24,1800
244068,Domestic Violence,Primary,F,No,46.72,19884.2
244635,Assault,Primary,M,No,27.1,7757.56
245052,Sexual Offences,Primary,F,Aboriginal,15.3,10000
245352,Assault,Primary,F,No,39.04,4717.05
245385,Assault,Primary,M,Unknown,36.99,3250
246104,Homicide - Other,Related,M,Aboriginal,62.92,10000
248562,Homicide - Other,Related,M,Unknown,22.35,1500
251536,Assault,Primary,M,Unknown,16.82,1271.59
251569,Robbery,Primary,M,Unknown,40.64,6000
252123,Sexual Offences,Primary,F,No,18.22,12423
239219,Sexual Offences,Not Eligible,F,No,9.99,0
239289,Assault,Primary,M,Aboriginal,52.45,24935.01
242497,Homicide - Other,Related,M,Unknown,40.65,10000
242514,Assault,Primary,M,No,40.03,2749.75
245135,Homicide - Other,Related,F,Aboriginal,51.1,750
246322,Assault,Primary,M,No,18.12,6685
246824,Homicide - Other,Related,F,No,56.86,10438.93
246991,Assault,Primary,F,No,51.99,5325.05
247608,Domestic Violence,Primary,F,Unknown,33.32,1435
248512,Homicide - Other,Related,F,Aboriginal,6.28,0
248579,Homicide - Other,Related,F,No,18.77,10000
248596,Homicide - Other,Related,M,Unknown,48.02,9946.91
271971,Homicide - Other,Related,M,No,6.04,18190.66
272121,Burglary,Primary,F,No,41.44,16910.6
272314,Robbery,Primary,M,Unknown,19.67,4120
275381,Assault,Primary,M,No,50.82,10270
275490,Assault,Primary,F,No,23.86,1000
275935,Sexual Offences,Primary,F,No,45.19,6346.6
279627,Assault,Primary,F,Aboriginal,25.62,3500
280638,Assault,Not Eligible,M,No,3.3,0
280997,Domestic Violence,Primary,F,No,39.56,27305.69
281458,Assault,Not Eligible,M,Aboriginal and Torres Strait,34.3,0
285677,Homicide - MVA,Related,M,No,45.47,11711.94
288026,Sexual Offences,Primary,M,No,8.09,10000
288385,Assault,Primary,M,No,25.2,4205
251337,Assault,Primary,M,Unknown,50.96,26013.84
228523,Robbery,Primary,F,No,35.27,2000
229225,Stalking/Threats,Primary,F,No,18.37,13031.73
229727,Burglary,Primary,F,No,30.04,3500
235679,Homicide - Other,Related,M,No,51.43,10000
238383,Homicide - Other,Not Eligible,F,Unknown,36.18,0
239389,Assault,Parent Secondary,F,No,59.58,20000
241677,Homicide - DV,Related,M,Aboriginal,47.03,10000
242595,Assault,Not Eligible,M,Aboriginal,52.8,0
246388,Domestic Violence,Primary,F,No,50.25,1911.5
246940,Homicide - Other,Related,M,Aboriginal,51.46,10000
250753,Assault,Not Eligible,F,No,83.78,0
254747,Sexual Offences,Yet To Be Determined,F,No,23.3,0
232577,Assault,Not Eligible,M,No,66.13,0
235099,Assault,Primary,M,No,24.67,3000
235233,Homicide - DV,Not Eligible,M,Aboriginal,7.75,0
236990,Homicide - DV,Not Eligible,F,Aboriginal,4.52,0
238327,Assault,Primary,M,No,33.1,2469.5
239329,Homicide - MVA,Yet To Be Determined,M,No,50.72,0
239464,Assault,Primary,M,Aboriginal and Torres Strait,14.06,1234.86
229353,Homicide - DV,Related,M,Aboriginal,6.55,10000
230755,Assault,Primary,M,No,24.43,3850
232592,Sexual Offences,Primary,F,No,8.76,10000
235871,Assault,Yet To Be Determined,M,No,41.65,0
237422,Assault,Primary,M,No,18.08,5196
238493,Assault,Primary,M,No,49.94,24708.4
271053,Robbery,Primary,M,No,35.34,6501.91
271564,Assault,Not Eligible,M,No,17.76,0
274270,Assault,Primary,F,Aboriginal,41.02,1200
274681,Homicide - Other,Related,M,No,62.84,16500
275317,Assault,Primary,M,Unknown,29.46,21472.57
275967,Assault,Primary,M,No,53.81,7034.6
276887,Sexual Offences,Not Eligible,M,No,24.88,0
280447,Domestic Violence,Primary,F,No,39.37,8940.15
281063,Assault,Primary,F,No,36.89,0
284146,Homicide - Other,Yet To Be Determined,F,Aboriginal,46.99,0
284584,Assault,Yet To Be Determined,M,No,59.46,0
286088,Assault,Primary,M,No,56.82,1100
291123,Sexual Offences,Primary,F,Aboriginal,11.89,6000
242438,Homicide - DV,Related,F,Aboriginal,34.02,10000
244592,Assault,Primary,M,Aboriginal,25.3,1400
245163,Homicide - Other,Related,F,No,49.95,10000
246447,Homicide - Other,Related,F,No,58.52,21727.4
248372,Homicide - Other,Related,F,Aboriginal,29.53,0
248854,Assault,Primary,M,No,21.02,10000
249391,Assault,Primary,M,No,50.34,2570
223202,Homicide - Other,Related,M,No,26.34,15995
223855,Robbery,Primary,M,No,48.36,4539.67
226979,Homicide - Other,Related,F,No,28.63,10877
229786,Homicide - Other,Related,M,Aboriginal,45.6,750
230687,Assault,Primary,M,Torres Strait Islander,33.81,3000
231826,Assault,Primary,M,No,19.62,3499.95
255531,Sexual Offences,Not Eligible,F,No,38.5,0
222624,Homicide - Other,Witness Secondary,F,Unknown,36.57,0
223176,Assault,Primary,M,No,37.04,4882.21
227623,Assault,Primary,M,Aboriginal,26.95,33364.35
228926,Homicide - Other,Related,M,Aboriginal,24.03,10000
230446,Assault,Primary,M,No,41.44,5657
231230,Assault,Yet To Be Determined,M,No,15.88,0
232100,Sexual Offences,Primary,F,No,24.11,10220
233822,Robbery,Yet To Be Determined,M,No,53.58,0
236211,Assault,Primary,M,No,27.57,10662
237567,Assault,Primary,F,No,24.98,2537
237867,Assault,Primary,M,Unknown,35.26,10000
241896,Assault,Yet To Be Determined,F,No,39.52,0
243296,Robbery,Primary,F,No,35.74,7464.72
245268,Domestic Violence,Primary,F,No,40.02,1888
252207,Sexual Offences,Primary,F,No,10.58,12000
254126,Motor Vehicle Accident,Not Eligible,M,Unknown,13.72,0
255064,Homicide - Other,Related,F,Aboriginal,24.05,10000
255165,Homicide - Other,Related,M,Aboriginal,33.17,10000
255698,Sexual Offences,Yet To Be Determined,F,No,39.34,0
255847,Homicide - Other,Related,M,No,1.84,10000
255884,Homicide - Other,Yet To Be Determined,F,No,54.48,0
255998,Homicide - Other,Related,M,No,1.84,10000
256101,Assault,Primary,F,No,53.54,7824.33
256319,Motor Vehicle Accident,Not Eligible,M,No,23.21,0
256333,Assault,Parent Secondary,F,No,45.19,359.19
288478,Assault,Primary,F,Aboriginal,55.26,3000
288703,Assault,Yet To Be Determined,F,No,24.56,0
289221,Assault,Primary,F,Torres Strait Islander,34.84,1000
289848,Assault,Primary,M,Aboriginal,16.62,1200
291084,Homicide - Other,Related,M,No,75.48,5603
291884,Assault,Primary,M,No,19.63,15071
292895,Homicide - Other,Yet To Be Determined,M,Unknown,12.14,0
292922,Domestic Violence,Yet To Be Determined,F,Aboriginal,37.58,0
293465,Sexual Offences,Primary,F,No,13.92,13111.1
294728,Assault,Primary,M,No,31.5,48771.4
296246,Sexual Offences,Primary,F,Torres Strait Islander,15.38,3500
296909,Homicide - Other,Related,M,No,40.42,16000
299113,Assault,Primary,M,No,67.06,10550
238207,Homicide - Other,Related,M,No,39.55,10000
238526,Homicide - Other,Related,M,No,47.71,10000
239648,Homicide - Other,Related,F,No,48.15,10000
