Year,ICD10_Code,ICD10_Description,Classification,Metric_Primary,Metric_Secondary,Value
2009/10,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,332610
2009/10,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,55720
2009/10,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,2020
2009/10,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,150
2009/10,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,3650
2009/10,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,8550
2009/10,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,8430
2009/10,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,2650
2009/10,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,3920
2009/10,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,3020
2009/10,?,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,5580
2009/10,X40?X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,1300
2009/10,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,15390
2009/10,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,190
2009/10,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,10
2009/10,??,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,32110
2009/10,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,5760
2009/10,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,240
2009/10,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,4580
2008/09,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,47770
2008/09,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,35820
2008/09,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,48360
2008/09,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,20120
2008/09,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1230
2008/09,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,450
2008/09,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,910
2008/09,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,500
2008/09,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,70
2008/09,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1080
2008/09,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,840
2008/09,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,2440
2008/09,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,150
2008/09,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,13910
2008/09,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,2140
2008/09,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,20110
2008/09,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,27270
2008/09,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,30
2008/09,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,4210
2008/09,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Broad,Other,Wholly attributable,0
2008/09,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,510
2008/09,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,310
2008/09,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,50
2008/09,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,980
2008/09,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,1770
2008/09,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,-
2008/09,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,6290
2008/09,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,180
2008/09,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,170
2008/09,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,160
2008/09,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,560
2008/09,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,30
2008/09,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,50
2008/09,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,1260
2008/09,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,1400
2008/09,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,8790
2008/09,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,22340
2008/09,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,20570
2008/09,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,910
2008/09,C32,Larynx,Broad,Cancer,Partly attributable chronic,2020
2008/09,C50,Breast,Broad,Cancer,Partly attributable chronic,24850
2008/09,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,36690
2008/09,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,288260
2008/09,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,50970
2008/09,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,1990
2008/09,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,150
2008/09,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,3610
2008/09,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,8390
2008/09,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,7410
2008/09,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,2450
2008/09,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,3740
2008/09,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,2920
2008/09,?,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,5570
2008/09,X40?X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,1390
2008/09,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,14090
2008/09,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,200
2008/09,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,10
2008/09,??,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,30640
2008/09,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,5790
2008/09,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,260
2008/09,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,4650
2007/08,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,45250
2007/08,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,31820
2007/08,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,44980
2007/08,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,17960
2007/08,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1210
2007/08,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,500
2007/08,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,780
2007/08,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,540
2007/08,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,100
2007/08,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1350
2007/08,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,670
2007/08,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,2230
2007/08,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,150
2007/08,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,12540
2007/08,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,1820
2007/08,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,20860
2007/08,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,25510
2007/08,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,60
2007/08,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,4470
2007/08,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Broad,Other,Wholly attributable,0
2007/08,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,590
2007/08,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,270
2007/08,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,70
2007/08,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,970
2007/08,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,1550
2007/08,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,-
2007/08,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,5930
2007/08,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,170
2007/08,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,180
2007/08,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,140
2007/08,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,420
2007/08,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,30
2007/08,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,40
2007/08,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,1680
2007/08,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,1410
2007/08,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,7820
2007/08,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,22050
2007/08,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,20740
2007/08,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,850
2007/08,C32,Larynx,Broad,Cancer,Partly attributable chronic,1960
2007/08,C50,Breast,Broad,Cancer,Partly attributable chronic,24390
2007/08,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,34180
2007/08,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,252680
2007/08,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,46660
2007/08,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,1880
2007/08,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,150
2007/08,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,3320
2007/08,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,7770
2007/08,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,6820
2007/08,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,2190
2007/08,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,3770
2007/08,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,2780
2007/08,?,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,6200
2007/08,X40?X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,1460
2007/08,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,13310
2007/08,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,210
2007/08,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,10
2007/08,??,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,29460
2007/08,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,5610
2007/08,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,290
2007/08,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,4820
2006/07,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,43240
2006/07,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,30400
2006/07,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,42300
2006/07,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,16340
2006/07,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1400
2006/07,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,470
2006/07,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,780
2006/07,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,480
2006/07,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,110
2006/07,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1160
2006/07,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,640
2006/07,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,2160
2006/07,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,220
2006/07,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,11640
2006/07,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,1750
2006/07,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,21230
2006/07,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,22170
2006/07,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,40
2006/07,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,4280
2006/07,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Broad,Other,Wholly attributable,0
2006/07,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,550
2006/07,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,280
2006/07,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,80
2006/07,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,880
2006/07,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,1570
2006/07,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,-
2006/07,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,5690
2006/07,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,170
2006/07,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,230
2006/07,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,140
2006/07,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,410
2006/07,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,40
2006/07,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,70
2006/07,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,2430
2006/07,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,1560
2006/07,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,7360
2006/07,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,22670
2006/07,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,21800
2006/07,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,820
2006/07,C32,Larynx,Broad,Cancer,Partly attributable chronic,1890
2006/07,C50,Breast,Broad,Cancer,Partly attributable chronic,22910
2006/07,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,32280
2006/07,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,225290
2006/07,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,43370
2006/07,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,1940
2006/07,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,160
2006/07,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,3120
2006/07,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,7660
2006/07,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,6300
2006/07,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,2140
2006/07,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,3790
2006/07,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,2700
2006/07,?,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,6280
2006/07,X40?X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,1380
2006/07,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,13130
2006/07,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,200
2006/07,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,10
2006/07,??,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,28040
2006/07,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,5700
2006/07,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,280
2006/07,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,5250
2005/06,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,41170
2005/06,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,27580
2005/06,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,40200
2005/06,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,14430
2005/06,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1390
2005/06,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,600
2005/06,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,660
2005/06,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,490
2005/06,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,110
2005/06,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1290
2005/06,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,590
2005/06,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,2070
2005/06,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,220
2005/06,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,10160
2005/06,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,1460
2005/06,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,19870
2005/06,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,21140
2005/06,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,50
2005/06,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,4580
2005/06,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Broad,Other,Wholly attributable,10
2005/06,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,470
2005/06,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,280
2005/06,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,80
2005/06,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,880
2005/06,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,1570
2005/06,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,-
2005/06,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,4990
2005/06,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,130
2005/06,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,210
2005/06,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,180
2005/06,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,390
2005/06,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,40
2005/06,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,90
2005/06,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,2500
2005/06,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,1480
2005/06,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,6430
2005/06,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,22310
2005/06,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,23050
2005/06,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,760
2005/06,C32,Larynx,Broad,Cancer,Partly attributable chronic,1870
2005/06,C50,Breast,Broad,Cancer,Partly attributable chronic,20240
2005/06,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,30250
2005/06,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,195440
2005/06,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,40980
2005/06,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,1940
2005/06,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,170
2005/06,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,2890
2005/06,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,7590
2005/06,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,5800
2005/06,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,1950
2005/06,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,4010
2005/06,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,2540
2005/06,?,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,6440
2005/06,X40?X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,1410
2005/06,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,12900
2005/06,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,210
2005/06,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,10
2005/06,??,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,26830
2005/06,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,5820
2005/06,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,260
2005/06,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,4870
2004/05,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,34450
2004/05,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,24510
2004/05,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,37150
2004/05,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,12620
2004/05,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1290
2004/05,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,550
2004/05,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,580
2004/05,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,470
2004/05,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,120
2004/05,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1140
2004/05,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,560
2004/05,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,1870
2004/05,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,210
2004/05,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,9070
2004/05,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,1330
2004/05,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,18410
2004/05,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,16830
2004/05,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,100
2004/05,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,4430
2004/05,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Broad,Other,Wholly attributable,10
2004/05,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,430
2004/05,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,280
2004/05,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,50
